COLONIA,Geo Point,ALCALDIA
SAN NICOLAS TETELCO (PBLO),"19.217583488,-98.9757394396",TLAHUAC
TEMPILULI,"19.2788470066,-99.0283138776",TLAHUAC
DEL MAESTRO,"19.4827613752,-99.182303945",AZCAPOTZALCO
SAN MIGUEL (AMPL),"19.2931274683,-98.9741178078",TLAHUAC
TLACUITLAPA,"19.3528054454,-99.2413630129",ALVARO OBREGON
BELEN DE LAS FLORES (U HAB),"19.3854328902,-99.2229820331",ALVARO OBREGON
TOLTECA,"19.3905099281,-99.1974886311",ALVARO OBREGON
TORRES SAN ANTONIO (U HAB),"19.3851112846,-99.1944804805",ALVARO OBREGON
PILOTO (ADOLFO LOPEZ MATEOS),"19.3724556468,-99.2323642889",ALVARO OBREGON
PUENTE COLORADO (AMPL),"19.3455869407,-99.2300172684",ALVARO OBREGON
PUNTA DE CEHUAYO,"19.3610735121,-99.2411679808",ALVARO OBREGON
PALMAS AXOTITLA,"19.3529518624,-99.2369749519",ALVARO OBREGON
COOPERATIVA CEHUAYO,"19.3583500028,-99.2429731791",ALVARO OBREGON
BONANZA,"19.3863173777,-99.2154642836",ALVARO OBREGON
INFONAVIT IZTACALCO (U HAB) II,"19.3824257348,-99.1060694189",IZTACALCO
LA HABANA,"19.2678599221,-98.995854647",TLAHUAC
LA MESA,"19.3163773887,-98.9675263448",TLAHUAC
NUEVA STA ANITA,"19.399062223,-99.1268200491",IZTACALCO
LA MEXICANA,"19.3820486313,-99.2316289992",ALVARO OBREGON
LA PALMITA,"19.3842795106,-99.2263774794",ALVARO OBREGON
LA OTRA BANDA,"19.3368893242,-99.1950357519",ALVARO OBREGON
LA ANGOSTURA,"19.3330055061,-99.2324372423",ALVARO OBREGON
CENTRO VII,"19.4302248036,-99.1281413675",CUAUHTEMOC
AHUATENCO,"19.3662504186,-99.3045160699",CUAJIMALPA DE MORELOS
DESARROLLO URBANO QUETZALCOATL  II,"19.3285589831,-99.0432385251",IZTAPALAPA
CAROLOS PACHECO (U HAB),"19.3638315704,-99.0300634389",IZTAPALAPA
SANTA CRUZ MEYEHUALCO (PBLO),"19.3400600728,-99.0407415134",IZTAPALAPA
SECTOR POPULAR,"19.366609236,-99.1176978996",IZTAPALAPA
SAN IGNACIO (BARR),"19.3648228406,-99.0962926077",IZTAPALAPA
POLVORILLA (AMPL),"19.3169845037,-99.0448080494",IZTAPALAPA
LA MAGUEYERA,"19.3207226812,-99.0441084738",IZTAPALAPA
LA ESTACION,"19.314880475,-99.0421652211",IZTAPALAPA
LAS PEAS I,"19.3356493615,-99.0509843061",IZTAPALAPA
MINAS POLVORILLA (U HAB),"19.3142996782,-99.0447614802",IZTAPALAPA
LA REGADERA,"19.3531121583,-99.0640559715",IZTAPALAPA
PROGRESO DEL SUR,"19.353289982,-99.1120436285",IZTAPALAPA
ZONA MILITAR FAVE SEDENA (U HAB),"19.3119191914,-99.0848239403",IZTAPALAPA
TLALTENCO (U HAB),"19.2900847197,-99.0683250686",IZTAPALAPA
