COLONIA,Geo Point,ALCALDIA
STA MARTHA ACATITLA NTE (AMPL) I,"19.3799974196,-99.0207006843",IZTAPALAPA
12 DE DICIEMBRE,"19.3293370593,-99.100483758",IZTAPALAPA
SANTA BARBARA (BARR) II,"19.3657304982,-99.1014768029",IZTAPALAPA
SANTA MARTHA ACATITLA,"19.3708759874,-99.0190141303",IZTAPALAPA
STA MA AZTAHUACAN (PBLO),"19.3507534349,-99.0236180584",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 4 (U HAB),"19.3604738213,-99.0513120881",IZTAPALAPA
VALLE DE LUCES (U HAB),"19.3415725332,-99.1045553689",IZTAPALAPA
SOLIDARIDAD EL SALADO (U HAB),"19.3727681678,-99.0066818696",IZTAPALAPA
SAN LORENZO TEZONCO (PBLO),"19.3107345224,-99.0629518882",IZTAPALAPA
SAN JUAN CERRO (PJE),"19.3436836037,-99.0790727238",IZTAPALAPA
SAN LUCAS (BARR),"19.3591451283,-99.0963979802",IZTAPALAPA
SAN ANDRES TOMATLAN (PBLO),"19.3284474037,-99.1051379194",IZTAPALAPA
SANTA CRUZ VI (U HAB),"19.3132573155,-99.0457231924",IZTAPALAPA
ANAHUAC MARIANO ESCOBEDO,"19.4448273269,-99.1811347139",MIGUEL HIDALGO
NARVARTE III,"19.3920203665,-99.1588440757",BENITO JUAREZ
ANAHUAC LAGO NORTE,"19.4470351655,-99.1869804152",MIGUEL HIDALGO
ANAHUAC LAGO SUR,"19.4451471007,-99.1872536573",MIGUEL HIDALGO
LA CARBONERA,"19.2962139277,-99.2580761518",LA MAGDALENA CONTRERAS
POTRERILLO,"19.3068089791,-99.2528325482",LA MAGDALENA CONTRERAS
INFONAVIT (U HAB),"19.3365975519,-99.2084059608",LA MAGDALENA CONTRERAS
MIRASOLES (U HAB),"19.3135597267,-99.0756097824",IZTAPALAPA
LA JOYA,"19.3726819856,-99.0299895984",IZTAPALAPA
EL SANTUARIO,"19.3546652532,-99.0928423363",IZTAPALAPA
EL TRIUNFO,"19.3778100635,-99.1205236429",IZTAPALAPA
MIRAVALLE,"19.3613041503,-99.1410888215",BENITO JUAREZ
JOSEFA ORTIZ DE DOMINGUEZ,"19.3876570354,-99.1406906812",BENITO JUAREZ
LOMAS ALTAS,"19.3995358153,-99.2287469402",MIGUEL HIDALGO
DEPORTIVA PENSIL,"19.450721994,-99.2076572678",MIGUEL HIDALGO
TORRES TOREO,"19.4583829363,-99.2124079547",MIGUEL HIDALGO
PILOTO CULHUACAN (U HAB),"19.3222913755,-99.1117966617",COYOACAN
PRADO CHURUBUSCO,"19.3545178048,-99.1268016586",COYOACAN
ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),"19.3190886855,-99.1204122575",COYOACAN
PEDREGAL DE SANTA URSULA IV,"19.3135568222,-99.1565743061",COYOACAN
EL ROSEDAL II,"19.3381310166,-99.1493100363",COYOACAN
PRESIDENTES EJIDALES SEGUNDA SECCION,"19.3253843965,-99.1239512159",COYOACAN
CANDELARIA DELOS PATOS (U HAB),"19.4295814858,-99.1216037072",VENUSTIANO CARRANZA
LORENZO BOTURINI,"19.4159216512,-99.124800073",VENUSTIANO CARRANZA
VENUSTIANO CARRANZA,"19.43921016,-99.1114120377",VENUSTIANO CARRANZA
VIADUCTO  - BALBUENA )CONJ HAB),"19.4073493198,-99.1098281363",VENUSTIANO CARRANZA
5TO TRAMO DE 20 DE NOVIEMBRE,"19.449885185,-99.1076722783",VENUSTIANO CARRANZA
COPILCO EL ALTO,"19.3308211959,-99.1754817178",COYOACAN
COPILCO EL BAJO,"19.3391294025,-99.1863816663",COYOACAN
EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),"19.3072658423,-99.1364697053",COYOACAN
LA MARTINICA,"19.3579603954,-99.2211776357",ALVARO OBREGON
LAS AGUILAS,"19.3605801994,-99.2027058439",ALVARO OBREGON
LLANO REDONDO,"19.3550941693,-99.2449950327",ALVARO OBREGON
LA CAADA,"19.382469292,-99.2257644896",ALVARO OBREGON
SANTA CATARINA YECAHUIZOTL (PBLO),"19.3041139142,-98.9733643634",TLAHUAC
DEL MAR SUR,"19.2865593962,-99.0610557699",TLAHUAC
CLAVERIA,"19.4660515311,-99.1818671607",AZCAPOTZALCO
ALDANA,"19.4707366167,-99.1499968041",AZCAPOTZALCO
COSMOPOLITA,"19.4748060398,-99.1633333351",AZCAPOTZALCO
AMPLIACION PETROLERA,"19.4830379083,-99.1953133848",AZCAPOTZALCO
HUAUTLA DE LAS SALINAS (BARR),"19.4889789538,-99.1593029959",AZCAPOTZALCO
CRUZ ROJA TEPANTONGO (U HAB),"19.500232853,-99.1848091196",AZCAPOTZALCO
PEMEX PRADOS DEL ROSARIO (U HAB),"19.5044147576,-99.207817246",AZCAPOTZALCO
LA RAZA,"19.4658247372,-99.1465434375",AZCAPOTZALCO
NUEVA EL ROSARIO,"19.5011216891,-99.1892715651",AZCAPOTZALCO
TLATILCO,"19.4611990757,-99.162529277",AZCAPOTZALCO
SANTA INES,"19.4949631034,-99.190921139",AZCAPOTZALCO
DESARROLLO URBANO,"19.3817464086,-99.2211690057",ALVARO OBREGON
EL CAPULIN,"19.3961678948,-99.211529141",ALVARO OBREGON
BALCONES DE CEHUAYO,"19.3575807027,-99.2407875279",ALVARO OBREGON
COLINAS DE TARANGO,"19.363509629,-99.2207917755",ALVARO OBREGON
BELEN DE LAS FLORES SECCION RELLENO,"19.3981944478,-99.2128384686",ALVARO OBREGON
CONCIENCIA PROLETARIA,"19.3614401153,-99.2177304035",ALVARO OBREGON
ARCOS DE CENTENARIO,"19.3599326874,-99.2271476742",ALVARO OBREGON
LOMAS DE BECERRA (U HAB),"19.3846565196,-99.2008695599",ALVARO OBREGON
OCHO DE AGOSTO,"19.3933694289,-99.1902516196",ALVARO OBREGON
LOMAS DE NUEVO MEXICO,"19.3820033282,-99.2347001805",ALVARO OBREGON
MARTIRES DE TACUBAYA,"19.3870327103,-99.2135792319",ALVARO OBREGON
JALALPA,"19.3791131621,-99.2286470082",ALVARO OBREGON
EL PARAISO,"19.3906259894,-99.212555088",ALVARO OBREGON
EL POCITO,"19.3825724917,-99.21075795",ALVARO OBREGON
EL MIRADOR,"19.3452436893,-99.2250100635",ALVARO OBREGON
EL CUERNITO,"19.3893164166,-99.2200838045",ALVARO OBREGON
LA ARAA,"19.3635459988,-99.2403170817",ALVARO OBREGON
PRESIDENTES,"19.3783804243,-99.2216785598",ALVARO OBREGON
PROF JOSE ARTURO LOPEZ,"19.3597043142,-99.220017333",ALVARO OBREGON
SANTA LUCIA REACOMODO,"19.3558182253,-99.2591672639",ALVARO OBREGON
CUAUHTEMOC,"19.4299776806,-99.1686722574",CUAUHTEMOC
OLIVAR DEL CONDE 2DA SECCION II,"19.3717615938,-99.2205281841",ALVARO OBREGON
TORRES DE MIXCOAC (U HAB),"19.3712304047,-99.1931354899",ALVARO OBREGON
VALENTIN GOMEZ FARIAS,"19.359507004,-99.2331076154",ALVARO OBREGON
TIZAMPAMPANO,"19.341855294,-99.2208146715",ALVARO OBREGON
DOCTORES I,"19.4239554155,-99.1472917929",CUAUHTEMOC
MAZA,,CUAUHTEMOC
CTM ATZACOALCO (U HAB),"19.5080784984,-99.1005610308",GUSTAVO A. MADERO
CUAUTEPEC EL ALTO (PBLO),"19.5570904648,-99.1341154844",GUSTAVO A. MADERO
CASTILLO GRANDE,"19.5380901071,-99.1383566997",GUSTAVO A. MADERO
ARBOLEDAS DE CUAUTEPEC (AMPL),"19.5676528089,-99.1206060685",GUSTAVO A. MADERO
SAN MARCOS (AMPL),"19.2878345489,-99.0941599779",XOCHIMILCO
SAN LUCAS XOCHIMANCA (PBLO),"19.2417732599,-99.1113747474",XOCHIMILCO
SANTA MARIA NATIVITAS (PBLO),"19.2435001879,-99.0890549201",XOCHIMILCO
TESMIC (RDCIAL),"19.2428881819,-99.1055105313",XOCHIMILCO
CONDOMINIO DEL BOSQUE (FRACC)-BOSQUE DE TLALPAN,"19.2913813942,-99.1982938306",TLALPAN
ISIDRO FABELA I (PONIENTE),"19.3012456594,-99.179670252",TLALPAN
LOS  ENCINOS,"19.2775096979,-99.2273661172",TLALPAN
TEPETLICA EL ALTO-3 DE MAYO,"19.2346117288,-99.1473302211",TLALPAN
PIEDRA LARGA,"19.1911492887,-99.1375405313",TLALPAN
PROGRESO TLALPAN,"19.2529777536,-99.1568112611",TLALPAN
HEROES DE PADIERNA II,"19.2807474585,-99.2200663547",TLALPAN
PEDREGAL DE SN NICOLAS 4A SECC II,"19.2789547502,-99.2333747185",TLALPAN
CONJUNTO HABITACIONAL PEDREGAL DEL LAGO,"19.3094795251,-99.2245591291",TLALPAN
MARTIN CARRERA II,"19.4898233495,-99.105754998",GUSTAVO A. MADERO
CASAS ALEMAN (AMPL) I,"19.4771468066,-99.0814302572",GUSTAVO A. MADERO
PRADOS DE CUAUTEPEC,"19.5612864271,-99.141457849",GUSTAVO A. MADERO
NUEVA ATZACOALCO I,"19.5031404862,-99.0829346065",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 2A SECCION (U HAB) II,"19.4567025904,-99.0848142063",GUSTAVO A. MADERO
BELVEDERE,"19.2688227138,-99.2270338655",TLALPAN
GENERAL FELIPE BERRIOZABAL,"19.555215776,-99.1283190832",GUSTAVO A. MADERO
PLANETARIO LINDAVISTA,"19.4955800621,-99.1415203011",GUSTAVO A. MADERO
FOVISSSTE CUCHILLA (U HAB),"19.4718823299,-99.0875286803",GUSTAVO A. MADERO
CANAL ONCE (U HAB),"19.2477214445,-99.1159403771",XOCHIMILCO
AGUA BENDITA,"19.3564879527,-99.3098289213",CUAJIMALPA DE MORELOS
LEYES DE REFORMA 3A SECCION II,"19.3756780943,-99.0701767186",IZTAPALAPA
JOSE LOPEZ PORTILLO I,"19.303833389,-99.0832300954",IZTAPALAPA
LOMAS DEL CHAMIZAL,"19.3931123205,-99.2627767044",CUAJIMALPA DE MORELOS
LA VENTA,"19.3196157598,-99.3112893322",CUAJIMALPA DE MORELOS
HUAYATLA,"19.308018372,-99.2623556537",LA MAGDALENA CONTRERAS
ATACAXCO,"19.3152816523,-99.2510025448",LA MAGDALENA CONTRERAS
LAS CRUCES,"19.3203526607,-99.2537493342",LA MAGDALENA CONTRERAS
LOMAS DE SAN BERNABE,"19.3122494789,-99.2636899955",LA MAGDALENA CONTRERAS
INDEPENDENCIA,"19.3797733751,-99.1480954964",BENITO JUAREZ
INSURGENTES MIXCOAC,"19.3727310076,-99.1834067293",BENITO JUAREZ
EJERCITO DE ORIENTE (U HAB) II,"19.3682845659,-99.0296843298",IZTAPALAPA
SANTIAGO ACAHUALTEPEC (PBLO),"19.3543297132,-99.0031021897",IZTAPALAPA
SANTA MARIA TOMATLAN (AMPL),"19.3292815105,-99.0962800298",IZTAPALAPA
SIERRA DEL VALLE,"19.3430660104,-99.0314100189",IZTAPALAPA
SANTA MARIA TOMATLAN,"19.3264295696,-99.0980654188",IZTAPALAPA
8A DE SAN MIGUEL (AMPL),"19.3512435732,-99.0786490167",IZTAPALAPA
PRESIDENTES DE MEXICO,"19.3323384547,-99.0610657848",IZTAPALAPA
"SAN PABLO I, II Y V-LOMAS DEL PARAISO","19.3293910047,-99.0064400421",IZTAPALAPA
PRIVADA GAVILAN (U HAB),"19.3597454886,-99.0766731574",IZTAPALAPA
LOS REYES (AMPL),"19.3443603996,-99.1005985073",IZTAPALAPA
NUEVA GENERACION (U HAB),"19.2896920085,-99.0723348004",IZTAPALAPA
GUADALUPE DEL MORAL,"19.3698702057,-99.0755961311",IZTAPALAPA
EL RETOO,"19.3719613402,-99.1251553428",IZTAPALAPA
GRANJAS ESTRELLA I,"19.324329811,-99.0878921604",IZTAPALAPA
EL VERGEL TRIANGULO DE LAS AGUJAS II (U HAB),"19.3076975549,-99.0863515295",IZTAPALAPA
FUENTES DE ZARAGOZA (U HAB),"19.3693550077,-99.0072683893",IZTAPALAPA
BARRANCAS DE GUADALUPE,"19.3274218397,-99.0229917494",IZTAPALAPA
EJTO CONSTITUCIONALISTA II ( U HAB),"19.385771188,-99.0435802717",IZTAPALAPA
AMERICA,"19.4038373239,-99.2025090181",MIGUEL HIDALGO
FRANCISCO I MADERO,"19.4471373413,-99.2028906856",MIGUEL HIDALGO
LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),"19.420764898,-99.22774282",MIGUEL HIDALGO
MORALES SECCION PALMAS (POLANCO),"19.4366377052,-99.2039290872",MIGUEL HIDALGO
PENSIL NORTE,"19.4503013459,-99.1968900454",MIGUEL HIDALGO
PENSIL SAN JUANICO,"19.4517392796,-99.1894451373",MIGUEL HIDALGO
RINCON DEL BOSQUE,"19.4292447578,-99.181119088",MIGUEL HIDALGO
TLAXPANA,"19.4406504483,-99.1692564509",MIGUEL HIDALGO
CANAL NACIONAL 260 (U HAB),"19.32667409,-99.1071327806",COYOACAN
DEL CARMEN,"19.3541145678,-99.163808041",COYOACAN
HERMOSILLO,"19.3477290785,-99.1285180895",COYOACAN
LOS ROBLES (FRACC),"19.3149354011,-99.1332622204",COYOACAN
NUEVA DIAZ ORDAZ,"19.3253213898,-99.1472974992",COYOACAN
PEDREGAL DE LA ZORRA,"19.3067020276,-99.1610730054",COYOACAN
PEDREGAL DEL MAUREL,"19.3090461822,-99.174820634",COYOACAN
SAN LUCAS (BARR),"19.3478939132,-99.1535107599",COYOACAN
SANTA CECILIA,"19.3069969839,-99.1140251933",COYOACAN
PEDREGAL DE STO DOMINGO VII,"19.3184272478,-99.1695060286",COYOACAN
ROMERO DE TERREROS (COND),"19.3445540269,-99.1804474414",COYOACAN
PENITENCIARIA (AMPL),"19.4364891872,-99.1162092822",VENUSTIANO CARRANZA
MOCTEZUMA 2A SECCION III,"19.4327619445,-99.102651431",VENUSTIANO CARRANZA
NAPOLES,"19.3936944672,-99.1764444932",BENITO JUAREZ
C T M ARAGON AMPLIACION (U),"19.4555553453,-99.0535032409",GUSTAVO A. MADERO
GABRIEL HERNANDEZ,"19.498571569,-99.1043371268",GUSTAVO A. MADERO
ESTANZUELA,"19.4904942278,-99.1097444701",GUSTAVO A. MADERO
INFONAVIT CAMINO SAN JUAN DE ARAGON (U HAB),"19.4726868281,-99.0825564944",GUSTAVO A. MADERO
INFONAVIT LORETO FABELA (U HAB),"19.4715961531,-99.0802339294",GUSTAVO A. MADERO
PANAMERICANA,"19.4795689226,-99.1432588885",GUSTAVO A. MADERO
VILLA MILPA ALTA (PBLO),"19.1933533513,-99.0235902837",MILPA ALTA
SAN BARTOLOME XICOMULCO (PBLO),"19.2059269917,-99.0668927124",MILPA ALTA
VILLA DE ARAGON,"19.4635462506,-99.0575139914",GUSTAVO A. MADERO
PEDREGAL DE SN NICOLAS 1A SECC,"19.2933723862,-99.2357126671",TLALPAN
PEDREGAL DE SN NICOLAS 3A SECC,"19.2843089691,-99.2364815215",TLALPAN
RINCON LAS HADAS-VILLA ROYALE-FUENTES Y ARCONADA COAPA,"19.2962823038,-99.1229766493",TLALPAN
VALLE DE MADERO,"19.5503267285,-99.1387514458",GUSTAVO A. MADERO
SAN MIGUEL CUAUTEPEC,"19.5601026928,-99.1358009939",GUSTAVO A. MADERO
FUENTES DEL PEDREGAL,"19.3038504522,-99.2195545617",TLALPAN
AMPLIACION MIGUEL HIDALGO 4A SECC,"19.2735144453,-99.2103257566",TLALPAN
GRANJAS COAPA,"19.295283241,-99.1142802884",TLALPAN
BOSQUES DEL PEDREGAL,"19.2719675159,-99.2391172024",TLALPAN
ARENAL GUADALUPE TLALPAN,"19.286604232,-99.1462403923",TLALPAN
SANTO TOMAS AJUSCO (PBLO),"19.2128922362,-99.217263973",TLALPAN
LOMAS DE  PADIERNA I,"19.2939402464,-99.2274938335",TLALPAN
2 DE OCTUBRE,"19.272159174,-99.2305429816",TLALPAN
SAN JUAN TEPEPAN,"19.2740023231,-99.1284873664",XOCHIMILCO
LA GUADALUPITA (BARR),"19.2645781401,-99.1018135349",XOCHIMILCO
TECACALANCO,"19.2405267197,-99.0636551503",XOCHIMILCO
VILLA XOCHIMILCO (U HAB),"19.2671829121,-99.1258326375",XOCHIMILCO
LORETO PEA POBRE (U HAB),"19.2481361195,-99.1132768633",XOCHIMILCO
SAN FRANCISCO TLALTENCO (PBLO),"19.306581711,-99.0128562299",TLAHUAC
LAS ARBOLEDAS,"19.3080096465,-99.0530244912",TLAHUAC
LA JOYITA,"19.3121306412,-98.9704012803",TLAHUAC
TIERRA BLANCA,"19.2356162288,-99.0073613388",TLAHUAC
INDUSTRIAL VALLEJO (U HAB),"19.4952280502,-99.1634711106",AZCAPOTZALCO
EL JAGUEY-ESTACION PANTACO,"19.4832819201,-99.1699642053",AZCAPOTZALCO
VILLA CENTROAMERICANA (U HAB),"19.2834709085,-99.0546397192",TLAHUAC
SELENE 2da SECC,"19.284969517,-99.0048288573",TLAHUAC
COSMOPOLITA (AMPL),"19.472424277,-99.1609482031",AZCAPOTZALCO
PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),"19.3717933178,-99.2268333253",ALVARO OBREGON
UNION POPULAR EMILIANO ZAPATA (U HAB),"19.3714833305,-99.2092727966",ALVARO OBREGON
MIGUEL GAONA ARMENTA,"19.3530139328,-99.2534551789",ALVARO OBREGON
LA PRESA,"19.3821266244,-99.2118229562",ALVARO OBREGON
LAS PALMAS,"19.3987640513,-99.2111958192",ALVARO OBREGON
BELLA VISTA,"19.3968471214,-99.1935569504",ALVARO OBREGON
ARTURO MARTINEZ,"19.3868561555,-99.2178741347",ALVARO OBREGON
CONDESA,"19.4147504858,-99.1762103973",CUAUHTEMOC
VALLE GOMEZ,"19.4588759476,-99.1250261379",CUAUHTEMOC
26 DE JULIO,"19.3575175295,-99.2506368214",ALVARO OBREGON
BUENOS AIRES,"19.4071966156,-99.1446313482",CUAUHTEMOC
GRAL A ROSALES,"19.3776790998,-99.2467156026",ALVARO OBREGON
EL PIRUL,"19.380277283,-99.2403094373",ALVARO OBREGON
REFORMA IZTACCIHUATL NORTE,"19.3864883093,-99.1298407846",IZTACALCO
PANTITLAN IV,"19.4077731753,-99.0658028711",IZTACALCO
SAN FCO XICALTONGO,"19.395944989,-99.1251586219",IZTACALCO
ALFALFAR,"19.375688747,-99.2004779058",ALVARO OBREGON
PRO HOGAR I,"19.4750721185,-99.1504313587",AZCAPOTZALCO
ABRAHAM GONZALEZ,"19.3864030485,-99.2054734745",ALVARO OBREGON
MORELOS III,"19.4453774475,-99.1333320245",CUAUHTEMOC
OBRERA I,"19.4195042636,-99.1387615628",CUAUHTEMOC
OBRERA III,"19.4107565162,-99.1417666594",CUAUHTEMOC
OBRERA II,"19.4151731171,-99.1392780039",CUAUHTEMOC
ADOLFO LOPEZ MATEOS,"19.3636069755,-99.2954278258",CUAJIMALPA DE MORELOS
BUENAVISTA I,"19.3309240318,-99.0301547902",IZTAPALAPA
CONSEJO AGRARISTA MEXICANO I,"19.3238641381,-99.0582392759",IZTAPALAPA
PREDIO DEGOLLADO,"19.3176663026,-99.0403198007",IZTAPALAPA
PARAJES BUENAVISTA (TETECON),"19.321670799,-99.0282015233",IZTAPALAPA
SANTA MARIA TOMATLAN (PBLO),"19.3243868889,-99.1007818497",IZTAPALAPA
LOS ANGELES APANOAYA,"19.3413979302,-99.0608526721",IZTAPALAPA
MAGDALENA ATLAZOLPA (PBLO),"19.3758667621,-99.1109499047",IZTAPALAPA
MOYOCOYANI (U HAB),"19.289153562,-99.0699083999",IZTAPALAPA
EL VERGEL TRIANGULO DE LAS AGUJAS I (U HAB),"19.3071399345,-99.0876618335",IZTAPALAPA
HUASIPUNGO (U HAB),"19.2893203742,-99.0729065675",IZTAPALAPA
NARVARTE I,"19.4001905635,-99.1525120257",BENITO JUAREZ
AHUEHUETES ANAHUAC,"19.449420191,-99.1893986751",MIGUEL HIDALGO
PORTALES IV,"19.3592721985,-99.1487837012",BENITO JUAREZ
SAN JOSE DE LOS CEDROS II,"19.3657495863,-99.2880835788",CUAJIMALPA DE MORELOS
LAS LAJAS,"19.3159210292,-99.3317960066",CUAJIMALPA DE MORELOS
BARROS SIERRA,"19.3167607173,-99.2464670126",LA MAGDALENA CONTRERAS
SAN JOSE DE LOS CEDROS I,"19.3674996167,-99.2901304776",CUAJIMALPA DE MORELOS
SAN JERONIMO ACULCO - LIDICE (PBLO),"19.3247418284,-99.2251974775",LA MAGDALENA CONTRERAS
TLACOQUEMECATL DEL VALLE,"19.3763189451,-99.1748165044",BENITO JUAREZ
ACACIAS,"19.3641058178,-99.1740648927",BENITO JUAREZ
EL MOLINO,"19.2976994709,-99.0683937678",IZTAPALAPA
"EJTO CONSTITUCIONALISTA, SUPERMANZANA I ( U HAB)","19.3872132344,-99.0491071165",IZTAPALAPA
PERALVILLO II,"19.4607093703,-99.1306529543",CUAUHTEMOC
OBRERA IV,"19.4104067222,-99.1380145408",CUAUHTEMOC
SANTA MARIA LA RIBERA IV,"19.4444233884,-99.1594591836",CUAUHTEMOC
SAN RAFAEL II,"19.4385711071,-99.1646939016",CUAUHTEMOC
ALVARO OBREGON,"19.3768917529,-99.040355467",IZTAPALAPA
LOMA HERMOSA (CONJ HAB),"19.4459367341,-99.2125963005",MIGUEL HIDALGO
HUICHAPAN,"19.4603456651,-99.1967812582",MIGUEL HIDALGO
MILITAR 1 K LOMAS DE SOTELO (U HAB),"19.4402171368,-99.2238702087",MIGUEL HIDALGO
OBSERVATORIO,"19.4054517525,-99.1926776913",MIGUEL HIDALGO
MANUEL AVILA CAMACHO,"19.4372556068,-99.2283518848",MIGUEL HIDALGO
POPO (AMPL),"19.444550068,-99.1969213406",MIGUEL HIDALGO
FEDERAL,"19.4202837411,-99.0888215221",VENUSTIANO CARRANZA
VENUSTIANO CARRANZA (AMPL),"19.4442427116,-99.1048625937",VENUSTIANO CARRANZA
CAFETALES I (RDCIAL),"19.3130310039,-99.1096016534",COYOACAN
CIUDAD JARDIN,"19.3350711463,-99.1439692816",COYOACAN
CANTIL DEL PEDREGAL,"19.3008671028,-99.1573939502",COYOACAN
EDUCACION,"19.3362137705,-99.1335345854",COYOACAN
EL CENTINELA,"19.3358369542,-99.139530751",COYOACAN
LA CONCEPCION (BARR),"19.3467706874,-99.1578411027",COYOACAN
LA CANTERA (U HAB),"19.3339796557,-99.1745063322",COYOACAN
ROMERO DE TERREROS (FRACC),"19.3419952581,-99.176673437",COYOACAN
VILLA PANAMERICANA 2DA. SECCIN (U HAB),"19.3064020438,-99.1762091981",COYOACAN
VILLA PANAMERICANA 3ERA. SECCIN (U HAB),"19.308172228,-99.1720563222",COYOACAN
EX EJIDO DE CHURUBUSCO,"19.3399880918,-99.130307686",COYOACAN
7 DE JULIO,"19.4316039931,-99.1126775669",VENUSTIANO CARRANZA
IRRIGACION,"19.4429549298,-99.2099357048",MIGUEL HIDALGO
MARINA NACIONAL (U HAB),"19.4466319056,-99.1795110575",MIGUEL HIDALGO
PEDREGAL DE STO DOMINGO VI,"19.3234027183,-99.1654676133",COYOACAN
VILLA PANAMERICANA 7MA. SECCIN (U HAB),"19.304604269,-99.1677617231",COYOACAN
VILLA PANAMERICANA 6TA. SECCIN (U HAB),"19.3112238873,-99.1696478642",COYOACAN
SANTA CRUZ AVIACION,"19.4223039522,-99.0972147602",VENUSTIANO CARRANZA
MAGDALENA  MIXHUCA,"19.407130147,-99.1181313602",VENUSTIANO CARRANZA
COPILCO UNIVERSIDAD,"19.3361172512,-99.1826102146",COYOACAN
MORALES SECCION ALAMEDA (POLANCO),"19.4337174017,-99.2048231931",MIGUEL HIDALGO
AJUSCO HUAYAMILPAS,"19.3239679215,-99.1506176652",COYOACAN
CHIMALISTAC,"19.3437968537,-99.1836820924",COYOACAN
EL ARENAL PTO AEREO (FRACC),"19.4286918638,-99.0608757738",VENUSTIANO CARRANZA
BAHIA (U HAB),"19.4164746958,-99.0833041984",VENUSTIANO CARRANZA
CUADRANTE DE SAN FRANCISCO,"19.3426015251,-99.1634413109",COYOACAN
EL RELOJ,"19.3182730247,-99.1409708841",COYOACAN
EL MIRADOR,"19.302360178,-99.1090506054",COYOACAN
LOS CIPRESES,"19.31922947,-99.1286608001",COYOACAN
LOS CEDROS (FRACC),"19.3138052247,-99.113111117",COYOACAN
CONSTITUCION DE LA REPUBLICA,"19.4834013346,-99.1008831973",GUSTAVO A. MADERO
CASTILLO GRANDE (AMPL),"19.5370255988,-99.1343412333",GUSTAVO A. MADERO
7 DE NOVIEMBRE,"19.4604877521,-99.1204607447",GUSTAVO A. MADERO
INDUSTRIAL I,"19.4737732535,-99.1240192961",GUSTAVO A. MADERO
TEPETATAL,"19.5624244376,-99.1380859686",GUSTAVO A. MADERO
SAN PEDRO EL CHICO,"19.4711734156,-99.0976237799",GUSTAVO A. MADERO
PEMEX LINDAVISTA (U HAB),"19.5063694916,-99.1340096017",GUSTAVO A. MADERO
SAN JUAN III (U HAB),"19.4807336276,-99.0951249141",GUSTAVO A. MADERO
GUADALUPE TEPEYAC,"19.4680677606,-99.1203028744",GUSTAVO A. MADERO
GUADALUPE VICTORIA II,"19.4719076043,-99.1409963107",GUSTAVO A. MADERO
LA PRADERA II (U HAB),"19.4717015371,-99.0640666871",GUSTAVO A. MADERO
LA MALINCHE,"19.4527555692,-99.1044431959",GUSTAVO A. MADERO
EX-ESCUELA DE TIRO,"19.4537707513,-99.0997824587",GUSTAVO A. MADERO
GRACIANO SANCHEZ,"19.5577319823,-99.1466396428",GUSTAVO A. MADERO
INDUSTRIAL II,"19.4751417642,-99.1281743415",GUSTAVO A. MADERO
SAN FELIPE DE JESUS I,"19.4975916881,-99.068562213",GUSTAVO A. MADERO
LA MAGDALENA PETLACALCO (PBLO),"19.2345462054,-99.1833497672",TLALPAN
JUVENTUD UNIDA,"19.268822842,-99.1528661745",TLALPAN
TLALPAN CENTRO,"19.2877936198,-99.1704866369",TLALPAN
TLALMILLE,"19.2594963013,-99.1861685798",TLALPAN
VERGEL DE COYOACAN-VERGEL DEL SUR,"19.3018048149,-99.1371575037",TLALPAN
VILLA LAZARO CARDENAS,"19.2970032059,-99.1409452107",TLALPAN
VERANO,"19.2651702366,-99.2004999119",TLALPAN
TIERRA NUEVA,"19.2659808577,-99.1193448586",XOCHIMILCO
REAL DEL SUR-VILLAS DEL SUR-RESIDENCIAL ACOXPA,"19.3004358284,-99.1232713617",TLALPAN
RINCONADA (U HAB),"19.2863262588,-99.1351600362",TLALPAN
SAN FRANCISCO TECOXPA (PBLO),"19.2003575283,-99.0025985595",MILPA ALTA
SAN AGUSTIN OHTENCO (PBLO),"19.1943801873,-99.0124084803",MILPA ALTA
ZONA ESCOLAR I,"19.5389702954,-99.1501286865",GUSTAVO A. MADERO
AMSA,"19.2850123087,-99.1388689884",TLALPAN
CALTONGO (BARR),"19.2578760734,-99.0866169525",XOCHIMILCO
LA CONCHA,"19.252396051,-99.1161535094",XOCHIMILCO
FUENTES BROTANTES MIGUEL HIDALGO (U HAB),"19.2817537126,-99.1857195712",TLALPAN
ARENAL PUERTA TEPEPAN,"19.2856270814,-99.1500667563",TLALPAN
FRACCIONAMIENTO COYUYA,"19.4003710526,-99.114740351",IZTACALCO
SANTIAGO AHUIZOTLA (PBLO),"19.476881606,-99.210669583",AZCAPOTZALCO
MANUEL RIVERA ANAYA CROC I (U HAB),"19.5103634284,-99.1941460544",AZCAPOTZALCO
TIERRA NUEVA,"19.4995186107,-99.2006422365",AZCAPOTZALCO
SAN FRANCISCO TETECALA (PBLO),"19.4801640665,-99.1913765938",AZCAPOTZALCO
TRABAJADORES DEL HIERRO,"19.4783717534,-99.1510764372",AZCAPOTZALCO
ATLAMPA,"19.4586445841,-99.1563686743",CUAUHTEMOC
